Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EICHERMOT,EQ,26-Oct-17,31716.4,31690,31828.75,31305,31570.15,31617.55,31528.12,41994,1323991926,11513,21552,51.32
EICHERMOT,EQ,27-Oct-17,31617.55,31710,31899.95,31570,31750.25,31811.75,31772.1,14026,445635424.7,5794,4738,33.78
EICHERMOT,EQ,30-Oct-17,31811.75,31850,32500,31850,32430,32371.05,32304.71,22042,712060497.6,8249,9823,44.56
EICHERMOT,EQ,31-Oct-17,32371.05,32489,32766.6,32200,32208.55,32233.4,32458.75,29742,965388006.1,9906,17897,60.17
EICHERMOT,EQ,1-Nov-17,32233.4,32499,32539.2,30861,30931,30929.8,31313.23,91123,2853355776,25280,43180,47.39
EICHERMOT,EQ,2-Nov-17,30929.8,31000,31392.3,31000,31152.5,31140.4,31195.39,28041,874750021.2,10418,16600,59.2
EICHERMOT,EQ,3-Nov-17,31140.4,31450,31450,30723,31230,31235.1,31066.89,26740,830728705.5,13076,13144,49.15
EICHERMOT,EQ,6-Nov-17,31235.1,31235.1,31443.2,30900,31000,31088.35,31173.68,25631,799012598.7,10319,16826,65.65
EICHERMOT,EQ,7-Nov-17,31088.35,31300,31300,30955.05,31220,31159.85,31089.98,38364,1192735862,11046,25009,65.19
EICHERMOT,EQ,8-Nov-17,31159.85,31159,31299.95,31000.8,31109.5,31195.3,31190.74,14609,455665555.2,7065,8279,56.67
EICHERMOT,EQ,9-Nov-17,31195.3,31238.75,31238.75,30600,30935.9,30853.3,30895.58,20505,633513965.7,9329,8639,42.13
EICHERMOT,EQ,10-Nov-17,30853.3,30900,30934.95,30370.2,30510,30551.65,30544.41,34983,1068535212,10993,21020,60.09
EICHERMOT,EQ,13-Nov-17,30551.65,30560,31042.5,30478.5,30650,30584.1,30602.6,23426,716896454.8,6504,14503,61.91
EICHERMOT,EQ,14-Nov-17,30584.1,30740,30923,29612,30150,30089.55,30190.36,70476,2127696035,25457,16673,23.66
EICHERMOT,EQ,15-Nov-17,30089.55,30000.25,30685.95,30000,30530,30483.35,30406.16,38398,1167535633,16057,19504,50.79
EICHERMOT,EQ,16-Nov-17,30483.35,30650,30726.95,30355.05,30360,30399.1,30544.75,25304,772904279.8,11678,14525,57.4
EICHERMOT,EQ,17-Nov-17,30399.1,30600.65,30839.9,30500.15,30781,30707.45,30714.94,26993,829088360.1,17515,17532,64.95
EICHERMOT,EQ,20-Nov-17,30707.45,30754,30754,30474.95,30620,30639.7,30585.13,16162,494316808.5,9215,9874,61.09
EICHERMOT,EQ,21-Nov-17,30639.7,30700,30794.85,30201.55,30361.2,30420.55,30462.37,25881,788396672.6,12716,16700,64.53
EICHERMOT,EQ,22-Nov-17,30420.55,30580,30592.9,30135,30175.1,30178.2,30274.27,15266,462167008.7,6983,8417,55.14
EICHERMOT,EQ,23-Nov-17,30178.2,30200,30685,30175,30650,30619.95,30537.54,34191,1044109185,9437,22764,66.58
EICHERMOT,EQ,24-Nov-17,30619.95,30620,31003.15,30601.05,30801,30812.35,30830.85,26528,817880706.7,9099,19379,73.05
EICHERMOT,EQ,27-Nov-17,30812.35,30812.35,31099,30694.3,30750,30755.7,30902.21,33595,1038159763,9513,21002,62.52
EICHERMOT,EQ,28-Nov-17,30755.7,30800,30850,30400.7,30500,30536.55,30618.32,19288,590566212.9,8520,12214,63.32
EICHERMOT,EQ,29-Nov-17,30536.55,30690,30800,30101.85,30203.6,30220.25,30440.27,37733,1148602580,11134,24520,64.98
EICHERMOT,EQ,30-Nov-17,30220.25,30220,30249.65,29880.4,29982,29944.05,30037.6,40563,1218414970,20548,28651,70.63
EICHERMOT,EQ,1-Dec-17,29944.05,30288,30344,29159,29400,29280.95,29748.9,49501,1472600141,19303,21475,43.38
EICHERMOT,EQ,4-Dec-17,29280.95,29553.5,29757.9,29208.7,29440,29403.7,29415.68,38053,1119354786,13955,24843,65.29
EICHERMOT,EQ,5-Dec-17,29403.7,29301.55,29398.95,28500,28885.5,28928.8,28726.65,76113,2186471819,16426,52724,69.27
EICHERMOT,EQ,6-Dec-17,28928.8,28630,28870,28111,28139.9,28157.8,28436.35,48820,1388262560,18676,33895,69.43
EICHERMOT,EQ,7-Dec-17,28157.8,28397,28987,28159,28699,28810.5,28641.96,75065,2150008975,21275,45811,61.03
EICHERMOT,EQ,8-Dec-17,28810.5,28600,29237.8,28600,29100,28999.95,28961.8,45767,1325494650,15242,21091,46.08
EICHERMOT,EQ,11-Dec-17,28999.95,29323.4,29669.8,29100.05,29335,29247.9,29388.99,47811,1405116834,17687,31496,65.88
EICHERMOT,EQ,12-Dec-17,29247.9,29274,29274,28555.65,28599.95,28598.65,28707.49,38747,1112329272,13541,22238,57.39
EICHERMOT,EQ,13-Dec-17,28598.65,28599,29076.1,28298,28850,28721.25,28734.85,43794,1258414120,12945,25185,57.51
EICHERMOT,EQ,14-Dec-17,28721.25,28850,28888.95,28451.05,28790,28738.7,28675.01,23263,667066798.4,11068,12059,51.84
EICHERMOT,EQ,15-Dec-17,28738.7,29000,29564.4,28909.7,29549.9,29478.7,29392.56,47512,1396499446,20080,27831,58.58
EICHERMOT,EQ,18-Dec-17,29478.7,29320.5,29999,28847.8,29950,29909.4,29717.73,37661,1119199323,16597,17175,45.6
EICHERMOT,EQ,19-Dec-17,29909.4,29990,30950,29986.4,30869.1,30823.35,30656.91,53360,1635852962,18203,21815,40.88
EICHERMOT,EQ,20-Dec-17,30823.35,30850,30999,29933.95,30199,30174.6,30560.09,58444,1786054162,18164,19997,34.22
EICHERMOT,EQ,21-Dec-17,30174.6,30248,30457.4,30175,30191,30248.5,30301.62,18231,552428806.7,9608,8224,45.11
EICHERMOT,EQ,22-Dec-17,30248.5,30450,30720.05,30037.05,30240,30250.75,30346.2,24085,730888284.6,10534,8413,34.93
EICHERMOT,EQ,26-Dec-17,30250.75,30440,30450,29950,30132.35,30251.15,30205.48,20611,622565134.7,7187,7988,38.76
EICHERMOT,EQ,27-Dec-17,30251.15,30280,30320,30100,30200,30190.65,30193.57,12394,374219130.8,6050,5976,48.22
EICHERMOT,EQ,28-Dec-17,30190.65,30300,30300,29686,29800,29832.45,29973.9,29851,894750914.9,9677,20776,69.6
EICHERMOT,EQ,29-Dec-17,29832.45,29900,30466.45,29899.95,30351,30340.85,30181.69,21804,658081643.3,7982,10055,46.12
EICHERMOT,EQ,1-Jan-18,30340.85,30399.95,30420,29850,29920,29893.15,30040.78,19847,596219396.5,5504,10450,52.65
EICHERMOT,EQ,2-Jan-18,29893.15,29925,29955,28539.7,28725,28670.15,29013.96,84793,2460180371,31088,37776,44.55
